"kelas,j1,j2,j3,j17,j20,program_studi"
"Non Adaptif,3,3,3,3,3,Teknik Mesin"
"Non Adaptif,3,3,3,3,3,Teknik Mesin"
"Adaptif,4,4,3,3,3,Teknik Mesin"
"Adaptif,3,3,2,3,3,Pendidikan Keagamaan Katolik"
"Adaptif,4,4,3,4,4,Pendidikan Guru Sekolah Dasar"
"Non Adaptif,3,3,4,3,3,Sastra Inggris"
"Non Adaptif,3,2,2,3,3,Matematika"
"Non Adaptif,3,4,3,4,4,Mekatronika"
"Non Adaptif,3,3,2,3,3,Manajemen"
"Adaptif,3,4,3,3,4,Psikologi"
"Non Adaptif,4,4,3,3,3,Akuntansi"
"Adaptif,4,4,3,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,3,3,3,3,3,Pendidikan Bahasa Inggris"
"Adaptif,4,4,3,3,3,Pendidikan Bahasa Inggris"
"Adaptif,4,4,4,4,4,Pendidikan Bahasa Inggris"
"Adaptif,4,4,4,4,4,Pendidikan Ekonomi Bidang Keahlian Khusus Pendidikan Akuntansi"
"Non Adaptif,3,4,3,3,3,Pendidikan Ekonomi Bidang Keahlian Khusus Pendidikan Akuntansi"
"Non Adaptif,3,3,3,3,3,Informatika"
"Adaptif,4,4,4,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,4,4,4,Pendidikan Ekonomi Bidang Keahlian Khusus Pendidikan Akuntansi"
"Adaptif,4,4,3,3,3,Psikologi"
"Adaptif,3,3,1,4,3,Informatika"
"Non Adaptif,3,3,3,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,3,3,3,3,3,Akuntansi"
"Adaptif,3,3,3,3,2,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,3,3,3,3,Manajemen"
"Adaptif,4,4,3,4,4,Pendidikan Guru Sekolah Dasar"
"Non Adaptif,4,4,3,4,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,3,4,3,Pendidikan Bahasa Inggris"
"Non Adaptif,4,4,4,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,3,4,3,4,Pendidikan Fisika"
"Non Adaptif,4,4,3,4,3,Pendidikan Guru Sekolah Dasar"
"Non Adaptif,4,4,3,4,2,Informatika"
"Adaptif,3,3,3,3,3,Pendidikan Matematika"
"Adaptif,3,2,2,3,3,Bimbingan dan Konseling"
"Adaptif,4,4,2,3,3,Farmasi"
"Adaptif,4,4,4,4,4,Farmasi"
"Adaptif,4,4,3,3,4,Ekonomi"
"Adaptif,3,3,3,3,4,Farmasi"
"Adaptif,3,3,3,3,4,Informatika"
"Adaptif,4,4,4,4,4,Filsafat Keilahian Program Sarjana"
"Adaptif,3,3,3,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,4,3,3,Farmasi"
"Adaptif,4,4,3,4,4,Pendidikan Kimia"
"Adaptif,4,3,2,4,4,Pendidikan Bahasa Inggris"
"Non Adaptif,3,4,3,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,4,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,2,3,3,4,3,Psikologi"
"Non Adaptif,4,3,3,4,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,4,3,4,Informatika"
"Adaptif,3,4,2,3,3,Sastra Inggris"
"Adaptif,4,4,4,3,4,Informatika"
"Adaptif,4,4,4,3,3,Manajemen"
"Adaptif,4,3,2,3,3,Bimbingan dan Konseling"
"Adaptif,4,4,3,4,4,Pendidikan Ekonomi Bidang Keahlian Khusus Pendidikan Ekonomi"
"Adaptif,4,4,3,4,3,Manajemen"
"Adaptif,4,4,4,3,4,Pendidikan Guru Sekolah Dasar"
"Non Adaptif,3,3,3,3,3,Manajemen"
"Adaptif,4,4,4,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,3,4,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,3,3,3,3,Psikologi"
"Adaptif,3,3,2,3,3,Magister Manajemen"
"Non Adaptif,4,4,2,3,3,Informatika"
"Adaptif,4,4,4,4,4,Manajemen"
"Non Adaptif,4,4,3,4,3,Informatika"
"Adaptif,4,4,3,4,4,Pendidikan Bahasa Inggris"
"Adaptif,4,4,4,3,3,Teknik Elektro"
"Adaptif,3,3,2,4,3,Akuntansi"
"Adaptif,4,4,4,3,4,Magister Farmasi"
"Non Adaptif,3,3,2,3,3,Informatika"
"Adaptif,4,4,4,4,4,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,3,3,3,3,4,Ekonomi"
"Adaptif,3,3,3,3,3,Farmasi"
"Adaptif,3,3,3,4,3,Manajemen"
"Non Adaptif,3,3,2,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,3,3,2,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,3,4,3,3,3,Manajemen"
"Adaptif,3,4,3,4,4,Pendidikan Ekonomi Bidang Keahlian Khusus Pendidikan Akuntansi"
"Adaptif,4,4,3,3,4,Pendidikan Bahasa Inggris"
"Non Adaptif,4,3,2,3,2,Manajemen"
"Adaptif,3,3,3,3,3,Bimbingan dan Konseling"
"Adaptif,4,4,3,4,3,Psikologi"
"Adaptif,4,4,2,3,3,Pendidikan Matematika Program Magister"
"Adaptif,4,3,3,3,4,Sastra Inggris"
"Non Adaptif,3,3,1,4,2,Akuntansi"
"Adaptif,3,3,3,3,3,Manajemen"
"Adaptif,4,4,3,4,3,Pendidikan Matematika"
"Adaptif,4,4,4,4,4,Akuntansi"
"Non Adaptif,4,4,4,4,4,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,4,4,3,4,4,Bimbingan dan Konseling"
"Non Adaptif,3,3,3,3,3,Pendidikan Kimia"
"Adaptif,4,4,3,3,3,Psikologi"
"Adaptif,3,3,3,3,3,Psikologi"
"Adaptif,4,3,3,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,3,3,3,4,3,Pendidikan Profesi Apoteker"
"Non Adaptif,3,4,4,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,3,4,4,Magister Kajian Bahasa Inggris"
"Non Adaptif,3,3,3,3,3,Akuntansi"
"Adaptif,4,4,4,4,3,Informatika"
"Adaptif,4,4,4,4,4,Pendidikan Matematika Program Magister"
"Adaptif,4,4,4,4,4,Akuntansi"
"Adaptif,3,3,3,3,3,Sastra Inggris"
"Non Adaptif,3,3,3,3,3,Teknologi Elektromedis"
"Adaptif,4,4,3,3,3,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,4,4,2,4,3,Teknik Mesin"
"Adaptif,3,3,3,3,3,Sastra Indonesia"
"Adaptif,4,4,4,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,3,3,3,3,3,Sejarah"
"Non Adaptif,4,4,4,4,4,Pendidikan Sejarah"
"Adaptif,3,4,4,3,4,Mekatronika"
"Adaptif,4,4,3,4,4,Filsafat Keilahian Program Sarjana"
"Non Adaptif,3,3,3,3,3,Teknik Elektro"
"Adaptif,4,4,3,4,4,Pendidikan Fisika"
"Adaptif,3,3,3,3,3,Ekonomi"
"Adaptif,4,4,3,3,3,Manajemen"
"Adaptif,4,4,2,4,2,Manajemen"
"Non Adaptif,3,3,2,4,3,Matematika"
"Non Adaptif,4,4,4,3,3,Pendidikan Matematika"
"Adaptif,4,4,3,4,3,Pendidikan Profesi Apoteker"
"Adaptif,3,4,3,4,4,Teknologi Elektromedis"
"Adaptif,3,3,3,3,3,Bimbingan dan Konseling"
"Adaptif,4,4,4,3,3,Pendidikan Bahasa Inggris"
"Adaptif,3,3,3,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,3,3,3,Farmasi"
"Adaptif,4,4,3,4,4,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,4,4,3,4,4,Pendidikan Sejarah"
"Non Adaptif,4,3,3,4,2,Informatika"
"Adaptif,4,4,2,3,3,Farmasi"
"Adaptif,3,4,3,3,3,Sastra Inggris"
"Non Adaptif,4,3,3,3,4,Teknik Mesin"
"Adaptif,4,4,4,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,4,4,3,Akuntansi"
"Adaptif,4,4,4,4,4,Magister Farmasi"
"Adaptif,4,4,3,4,4,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,4,4,3,3,3,Farmasi"
"Non Adaptif,4,4,3,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,3,4,4,Informatika"
"Adaptif,4,4,4,4,4,Magister Farmasi"
"Adaptif,3,3,3,3,3,Pendidikan Keagamaan Katolik"
"Adaptif,3,3,3,3,3,Pendidikan Bahasa Inggris"
"Non Adaptif,3,3,3,3,4,Farmasi"
"Adaptif,4,4,4,4,4,Pendidikan Fisika"
"Adaptif,4,4,3,4,3,Sastra Inggris"
"Adaptif,4,4,3,4,4,Filsafat Keilahian Program Sarjana"
"Non Adaptif,3,3,4,3,4,Informatika"
"Adaptif,4,4,3,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,3,3,2,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,3,3,3,3,3,Pendidikan Profesi Apoteker"
"Adaptif,3,4,3,3,3,Manajemen"
"Adaptif,4,4,3,4,4,Informatika"
"Adaptif,4,4,3,3,3,Akuntansi"
"Non Adaptif,4,4,2,4,3,Informatika"
"Adaptif,3,3,2,3,3,Pendidikan Keagamaan Katolik"
"Adaptif,4,4,3,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,3,4,3,3,3,Psikologi"
"Adaptif,4,4,4,4,4,Bimbingan dan Konseling"
"Adaptif,4,4,4,4,4,Akuntansi"
"Non Adaptif,4,4,3,4,3,Informatika"
"Adaptif,4,4,4,4,4,Pendidikan Fisika"
"Adaptif,4,4,3,4,3,Akuntansi"
"Non Adaptif,3,4,3,3,4,Pendidikan Fisika"
"Non Adaptif,4,4,3,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,3,4,4,Ekonomi"
"Adaptif,3,3,2,2,2,Akuntansi"
"Non Adaptif,3,3,3,3,3,Informatika"
"Adaptif,3,3,3,4,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,3,3,3,4,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,3,3,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,3,3,4,3,Psikologi"
"Adaptif,3,3,3,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,3,3,3,4,3,Akuntansi"
"Adaptif,4,4,3,3,3,Akuntansi"
"Adaptif,4,4,3,4,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,1,1,1,1,1,Akuntansi"
"Adaptif,4,4,3,4,3,Farmasi"
"Adaptif,3,3,3,4,3,Manajemen"
"Adaptif,4,4,3,3,3,Teknik Mesin"
"Non Adaptif,3,3,3,3,3,Manajemen"
"Adaptif,3,3,3,3,3,Akuntansi"
"Adaptif,4,4,2,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,3,3,4,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,4,4,4,4,3,Manajemen"
"Adaptif,3,3,2,3,3,Informatika"
"Adaptif,2,3,3,3,3,Pendidikan Fisika"
"Adaptif,4,3,3,4,3,Pendidikan Ekonomi Bidang Keahlian Khusus Pendidikan Ekonomi"
"Adaptif,3,3,2,3,3,Pendidikan Sejarah"
"Adaptif,4,4,3,4,3,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,4,3,3,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,3,4,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,3,4,3,Informatika"
"Adaptif,4,4,3,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,3,4,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,2,4,3,Pendidikan Bahasa Inggris"
"Adaptif,4,4,3,4,4,Psikologi"
"Adaptif,3,3,3,4,3,Pendidikan Keagamaan Katolik"
"Non Adaptif,4,4,4,4,4,Sastra Inggris"
"Non Adaptif,3,3,2,4,3,Matematika"
"Adaptif,4,4,4,4,4,Informatika"
"Non Adaptif,3,3,3,4,3,Teknologi Elektromedis"
"Non Adaptif,3,3,3,3,3,Pendidikan Matematika"
"Adaptif,1,1,1,1,1,Farmasi"
"Adaptif,4,4,3,3,4,Pendidikan Matematika"
"Non Adaptif,3,4,3,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,4,4,4,Pendidikan Fisika"
"Adaptif,3,3,3,4,3,Psikologi"
"Non Adaptif,4,3,2,4,3,Teknik Mesin"
"Adaptif,4,4,3,4,4,Farmasi"
"Adaptif,3,3,3,3,3,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,3,3,4,4,3,Pendidikan Bahasa dan Sastra Indonesia"
"Non Adaptif,4,4,4,4,4,Pendidikan Matematika"
"Non Adaptif,4,4,3,4,4,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,4,4,4,4,1,Pendidikan Profesi Apoteker"
"Adaptif,4,4,4,3,3,Pendidikan Bahasa Inggris"
"Non Adaptif,3,4,3,4,4,Farmasi"
"Adaptif,3,3,3,3,3,Manajemen"
"Non Adaptif,3,3,3,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,3,3,3,3,Sastra Inggris"
"Adaptif,3,3,3,3,3,Pendidikan Ekonomi Bidang Keahlian Khusus Pendidikan Akuntansi"
"Adaptif,4,4,4,4,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,4,3,3,Psikologi"
"Adaptif,4,4,4,3,4,Akuntansi"
"Non Adaptif,3,3,3,3,4,Akuntansi"
"Adaptif,4,4,4,4,4,Akuntansi"
"Adaptif,3,3,3,3,3,Pendidikan Keagamaan Katolik"
"Adaptif,4,4,4,3,3,Pendidikan Bahasa Inggris"
"Adaptif,4,4,4,3,3,Akuntansi"
"Non Adaptif,2,2,2,2,2,Pendidikan Guru Sekolah Dasar"
"Non Adaptif,3,3,3,3,3,Akuntansi"
"Adaptif,4,4,1,1,3,Teknologi Elektromedis"
"Adaptif,3,3,3,3,3,Teknik Elektro"
"Adaptif,3,3,3,4,4,Pendidikan Keagamaan Katolik"
"Non Adaptif,4,4,3,3,3,Ekonomi"
"Adaptif,4,4,2,3,2,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,3,3,3,Farmasi"
"Non Adaptif,3,3,3,3,3,Akuntansi"
"Adaptif,4,4,3,3,3,Teknik Mesin"
"Non Adaptif,4,4,3,3,4,Manajemen"
"Non Adaptif,4,4,3,4,3,Farmasi"
"Adaptif,4,4,2,3,3,Akuntansi"
"Non Adaptif,4,4,3,4,4,Pendidikan Keagamaan Katolik"
"Adaptif,3,3,3,3,3,Pendidikan Matematika"
"Adaptif,4,4,3,4,4,Informatika"
"Adaptif,2,3,2,3,3,Sastra Inggris"
"Adaptif,4,4,3,4,3,Psikologi"
"Adaptif,3,3,3,3,2,Farmasi"
"Adaptif,4,4,4,4,3,Akuntansi"
"Non Adaptif,4,4,4,3,3,Mekatronika"
"Adaptif,3,3,4,4,4,Psikologi"
"Adaptif,4,4,3,4,3,Psikologi"
"Adaptif,3,3,2,4,4,Pendidikan Profesi Apoteker"
"Adaptif,4,4,3,4,3,Akuntansi"
"Adaptif,4,4,3,3,3,Magister Farmasi"
"Adaptif,4,3,2,4,4,Psikologi"
"Adaptif,3,4,3,3,3,Sejarah"
"Adaptif,3,3,3,3,3,Manajemen"
"Adaptif,2,2,2,2,2,Teknik Elektro"
"Non Adaptif,1,1,2,3,3,Teknik Elektro"
"Adaptif,4,4,3,3,3,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,3,3,2,4,3,Akuntansi"
"Adaptif,4,4,4,4,4,Magister Farmasi"
"Adaptif,3,3,3,3,4,Manajemen"
"Adaptif,4,4,4,3,4,Teknologi Elektromedis"
"Adaptif,4,4,3,4,4,Sejarah"
"Adaptif,4,4,3,4,4,Psikologi"
"Adaptif,4,4,4,4,3,Sastra Inggris"
"Adaptif,4,4,2,4,3,Sastra Inggris"
"Adaptif,3,3,3,4,3,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,4,4,3,3,3,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,4,4,4,4,4,Magister Farmasi"
"Adaptif,4,4,3,4,3,Pendidikan Bahasa Inggris"
"Adaptif,3,3,3,3,3,Farmasi"
"Adaptif,3,3,3,4,3,Farmasi"
"Adaptif,4,3,3,2,2,Informatika"
"Adaptif,4,4,4,3,4,Pendidikan Biologi"
"Non Adaptif,3,3,1,3,3,Sejarah"
"Non Adaptif,1,1,1,1,2,Matematika"
"Adaptif,4,4,3,4,3,Pendidikan Bahasa Inggris"
"Non Adaptif,3,3,2,3,3,Akuntansi"
"Adaptif,3,3,3,3,3,Filsafat Keilahian Program Sarjana"
"Non Adaptif,3,3,3,3,3,Informatika"
"Adaptif,4,4,4,3,3,Manajemen"
"Adaptif,3,3,3,4,4,Teknologi Elektromedis"
"Adaptif,3,3,2,3,3,Pendidikan Profesi Apoteker"
"Adaptif,3,3,4,3,3,Farmasi"
"Adaptif,4,4,3,4,4,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,3,3,2,4,3,Manajemen"
"Non Adaptif,3,3,3,3,3,Farmasi"
"Adaptif,4,4,3,3,3,Psikologi"
"Adaptif,4,4,4,4,4,Pendidikan Matematika"
"Adaptif,4,4,2,3,3,Pendidikan Bahasa Inggris"
"Non Adaptif,3,3,3,3,3,Farmasi"
"Adaptif,3,3,3,3,3,Teknik Mesin"
"Adaptif,4,4,3,3,4,Pendidikan Bahasa Inggris"
"Adaptif,4,4,4,3,3,Akuntansi"
"Adaptif,4,4,2,3,4,Manajemen"
"Adaptif,3,3,3,3,3,Farmasi"
"Non Adaptif,4,4,4,4,3,Manajemen"
"Adaptif,4,3,3,4,3,Psikologi"
"Non Adaptif,4,3,3,3,4,Pendidikan Profesi Guru Sekolah Dasar"
"Adaptif,3,4,3,4,4,Bimbingan dan Konseling"
"Adaptif,3,4,3,4,3,Akuntansi"
"Adaptif,4,4,3,3,3,Informatika"
"Adaptif,4,4,3,4,4,Bimbingan dan Konseling"
"Adaptif,4,4,2,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,2,4,2,3,3,Pendidikan Bahasa Inggris"
"Adaptif,4,4,3,3,4,Informatika"
"Adaptif,3,4,3,4,4,Manajemen"
"Adaptif,3,3,3,4,3,Akuntansi"
"Adaptif,4,4,4,4,4,Pendidikan Bahasa Inggris"
"Adaptif,4,4,3,4,4,Bimbingan dan Konseling"
"Adaptif,4,3,3,3,3,Sastra Inggris"
"Adaptif,4,3,3,4,3,Akuntansi"
"Adaptif,4,4,3,3,4,Pendidikan Kimia"
"Adaptif,4,4,2,3,3,Bimbingan dan Konseling"
"Adaptif,3,3,2,3,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,3,3,3,3,3,Mekatronika"
"Adaptif,4,3,4,3,4,Bimbingan dan Konseling"
"Adaptif,3,3,3,3,4,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,4,3,4,3,Psikologi"
"Adaptif,3,3,3,3,3,Bimbingan dan Konseling"
"Adaptif,4,4,4,3,3,Akuntansi"
"Non Adaptif,4,4,3,3,4,Sastra Indonesia"
"Adaptif,4,4,4,3,4,Sastra Inggris"
"Adaptif,3,4,2,4,4,Manajemen"
"Adaptif,4,4,4,4,3,Manajemen"
"Adaptif,3,3,3,3,3,Manajemen"
"Non Adaptif,3,3,2,3,2,Farmasi"
"Non Adaptif,2,4,4,3,3,Psikologi"
"Non Adaptif,4,4,3,4,4,Pendidikan Guru Sekolah Dasar"
"Non Adaptif,4,2,2,4,2,Teknik Mesin"
"Non Adaptif,2,3,4,3,3,Teknik Elektro"
"Adaptif,4,4,4,3,3,Farmasi"
"Adaptif,3,3,3,3,3,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,3,3,4,4,3,Farmasi"
"Non Adaptif,4,3,2,3,3,Teknik Mesin"
"Adaptif,4,4,3,4,3,Psikologi"
"Adaptif,4,4,3,4,4,Sastra Inggris"
"Adaptif,4,4,3,3,3,Psikologi"
"Adaptif,4,4,3,4,4,Manajemen"
"Adaptif,4,4,4,3,3,Farmasi"
"Adaptif,4,4,3,3,3,Akuntansi"
"Non Adaptif,4,3,3,3,3,Informatika"
"Adaptif,4,3,3,3,3,Ekonomi"
"Adaptif,3,3,3,3,3,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,3,3,3,3,3,Bimbingan dan Konseling"
"Adaptif,3,3,4,4,4,Akuntansi"
"Adaptif,4,4,3,3,3,Sastra Inggris"
"Non Adaptif,4,4,3,4,3,Bimbingan dan Konseling"
"Non Adaptif,4,3,4,4,3,Pendidikan Bahasa Inggris"
"Non Adaptif,3,3,3,3,3,Informatika"
"Adaptif,4,4,3,4,4,Sastra Inggris"
"Adaptif,4,4,4,4,4,Psikologi"
"Adaptif,3,3,3,3,3,Farmasi"
"Adaptif,4,4,4,4,4,Farmasi"
"Adaptif,4,4,3,4,3,Sastra Inggris"
"Adaptif,4,4,3,4,4,Bimbingan dan Konseling"
"Adaptif,4,3,3,3,3,Pendidikan Matematika"
"Non Adaptif,3,3,3,3,3,Pendidikan Profesi Guru Sekolah Dasar"
"Non Adaptif,4,3,2,3,3,Farmasi"
"Non Adaptif,3,2,3,4,3,Pendidikan Guru Sekolah Dasar"
"Non Adaptif,4,4,3,3,3,Pendidikan Keagamaan Katolik"
"Adaptif,4,4,3,3,3,Farmasi"
"Non Adaptif,3,4,3,4,3,Teknik Mesin"
"Adaptif,3,4,3,3,3,Farmasi"
"Adaptif,4,4,4,4,4,Sastra Inggris"
"Adaptif,4,4,3,4,3,Pendidikan Guru Sekolah Dasar"
"Non Adaptif,1,3,2,2,2,Pendidikan Ekonomi Bidang Keahlian Khusus Pendidikan Ekonomi"
"Adaptif,4,4,3,4,3,Sastra Indonesia"
"Adaptif,4,4,3,4,4,Pendidikan Bahasa Inggris"
"Non Adaptif,4,4,4,4,3,Matematika"
"Adaptif,3,3,3,3,3,Magister Manajemen"
"Adaptif,4,4,2,3,3,Pendidikan Bahasa Inggris"
"Adaptif,3,3,3,3,3,Pendidikan Profesi Apoteker"
"Adaptif,3,3,3,3,3,Sastra Inggris"
"Non Adaptif,4,3,3,4,4,Informatika"
"Non Adaptif,3,3,3,3,3,Matematika"
"Adaptif,4,4,3,4,4,Manajemen"
"Non Adaptif,3,3,3,3,3,Akuntansi"
"Adaptif,4,4,3,4,4,Magister Manajemen"
"Non Adaptif,4,3,3,3,3,Teknik Elektro"
"Adaptif,4,4,4,4,4,Sastra Inggris"
"Adaptif,4,4,3,3,4,Farmasi"
"Adaptif,4,4,4,3,4,Pendidikan Matematika Program Magister"
"Adaptif,2,2,1,3,1,Manajemen"
"Adaptif,4,4,3,4,4,Farmasi"
"Non Adaptif,3,3,3,3,3,Psikologi"
"Adaptif,4,4,4,4,4,Psikologi"
"Adaptif,4,3,3,3,3,Psikologi"
"Adaptif,3,3,4,3,3,Sastra Inggris"
"Adaptif,4,4,4,3,3,Pendidikan Kimia"
"Adaptif,3,3,3,3,3,Manajemen"
"Adaptif,4,4,2,4,3,Teknik Mesin"
"Non Adaptif,3,3,3,3,3,Teknik Mesin"
"Adaptif,3,3,3,3,3,Pendidikan Matematika Program Magister"
"Adaptif,3,3,3,3,3,Akuntansi"
"Adaptif,3,4,3,3,3,Pendidikan Bahasa dan Sastra Indonesia"
"Non Adaptif,3,3,3,4,3,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,3,4,3,4,2,Pendidikan Bahasa Inggris"
"Adaptif,4,4,3,4,4,Sastra Indonesia"
"Non Adaptif,3,3,3,3,3,Teknik Mesin"
"Adaptif,4,3,1,2,2,Sastra Inggris"
"Adaptif,4,4,4,4,4,Manajemen"
"Adaptif,4,4,4,4,4,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,4,4,4,4,4,Pendidikan Matematika"
"Adaptif,3,3,3,3,3,Akuntansi"
"Adaptif,4,4,4,3,3,Pendidikan Sejarah"
"Adaptif,1,1,1,1,1,Pendidikan Sejarah"
"Adaptif,4,4,4,4,3,Magister Farmasi"
"Adaptif,4,4,3,3,3,Pendidikan Matematika"
"Non Adaptif,3,3,3,3,3,Sastra Inggris"
"Adaptif,4,4,2,2,3,Teknik Elektro"
"Adaptif,4,4,3,4,4,Manajemen"
"Adaptif,4,4,4,4,4,Filsafat Keilahian Program Sarjana"
"Adaptif,4,4,2,4,3,Pendidikan Profesi Apoteker"
"Adaptif,3,3,3,4,3,Pendidikan Guru Sekolah Dasar"
"Adaptif,4,3,3,4,4,Pendidikan Keagamaan Katolik"
"Adaptif,3,3,4,4,4,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,3,3,3,3,3,Farmasi"
"Adaptif,3,2,2,4,3,Psikologi"
"Adaptif,4,4,3,3,3,Pendidikan Keagamaan Katolik"
"Non Adaptif,3,3,3,3,3,Sastra Inggris"
"Adaptif,4,4,4,4,3,Bimbingan dan Konseling"
"Adaptif,4,4,4,3,3,Akuntansi"
"Adaptif,4,4,3,3,4,Akuntansi"
"Adaptif,3,3,3,3,3,Informatika"
"Adaptif,3,4,4,4,4,Farmasi"
"Adaptif,3,3,3,2,2,"
"Adaptif,3,4,3,4,4,Akuntansi"
"Adaptif,3,4,3,3,3,Manajemen"
"Adaptif,1,1,1,1,1,Farmasi"
"Non Adaptif,3,4,3,3,3,Pendidikan Matematika"
"Adaptif,4,4,4,3,3,Manajemen"
"Adaptif,4,4,3,4,3,Psikologi"
"Adaptif,3,3,2,3,3,Pendidikan Fisika"
"Non Adaptif,3,3,3,3,3,Teknik Mesin"
"Adaptif,4,3,3,3,3,Sastra Inggris"
"Adaptif,4,4,3,4,4,Sastra Inggris"
"Adaptif,3,3,2,3,3,Informatika"
"Adaptif,3,3,3,3,3,Teknik Mesin"
"Adaptif,1,4,4,4,4,Magister Manajemen"
"Adaptif,4,4,3,4,3,Sastra Indonesia"
"Adaptif,3,3,3,3,3,Magister Manajemen"
"Non Adaptif,3,3,3,3,2,Teknik Mesin"
"Adaptif,4,3,3,3,3,Pendidikan Fisika"
"Adaptif,4,4,4,3,4,Magister Manajemen"
"Adaptif,3,3,3,3,3,Sastra Indonesia"
"Adaptif,4,3,2,3,3,Akuntansi"
"Adaptif,4,4,3,4,4,Informatika"
"Adaptif,1,1,1,1,1,Teknik Elektro"
"Adaptif,4,4,4,3,4,Informatika"
"Adaptif,4,4,3,3,3,Farmasi"
"Adaptif,3,3,3,3,3,Pendidikan Bahasa Inggris"
"Non Adaptif,3,4,2,3,3,Teknik Elektro"
"Adaptif,4,4,4,4,3,Manajemen"
"Adaptif,4,4,3,3,3,Bimbingan dan Konseling"
"Adaptif,4,4,3,4,4,Manajemen"
"Adaptif,4,4,3,3,3,Pendidikan Bahasa Inggris"
"Adaptif,4,4,3,3,3,Pendidikan Matematika"
"Adaptif,4,4,4,4,4,Akuntansi"
"Adaptif,4,4,3,3,3,Psikologi"
"Non Adaptif,2,2,2,2,2,Teknologi Elektromedis"
"Adaptif,3,3,2,3,3,Informatika"
"Adaptif,3,4,3,4,3,Sastra Indonesia"
"Adaptif,3,4,3,4,4,Akuntansi"
"Adaptif,4,4,3,3,3,Pendidikan Profesi Apoteker"
"Adaptif,4,4,2,3,3,Bimbingan dan Konseling"
"Adaptif,4,4,3,4,4,Pendidikan Bahasa dan Sastra Indonesia"
"Adaptif,3,4,3,4,3,Akuntansi"
"Adaptif,4,4,3,3,3,Farmasi"
"Adaptif,3,3,3,3,3,Ekonomi"
"Adaptif,4,4,4,4,4,Sastra Indonesia"
"Adaptif,4,4,3,3,4,Informatika"
